fg%,3p%,ft,tov%,ortg_max,drtg_max,home
0.493,0.4,21.0,20.5,168.0,118.0,1
0.375,0.406,16.0,10.1,243.0,105.0,1
0.486,0.438,19.0,19.9,247.0,132.0,0
0.458,0.393,20.0,13.8,190.0,104.0,1
0.425,0.265,20.0,10.1,212.0,105.0,0
0.349,0.5,28.0,15.3,140.0,137.0,1
0.443,0.275,10.0,12.3,126.0,125.0,0
0.488,0.345,20.0,13.1,222.0,129.0,0
0.379,0.28,7.0,15.7,156.0,119.0,0
0.522,0.467,26.0,14.6,183.0,123.0,1
0.553,0.583,17.0,12.0,265.0,136.0,1
0.472,0.37,14.0,11.7,142.0,116.0,1
0.422,0.226,19.0,9.7,154.0,114.0,0
0.359,0.231,15.0,8.1,207.0,112.0,1
0.556,0.545,12.0,15.9,225.0,111.0,0
0.403,0.324,14.0,16.7,150.0,109.0,0
0.46,0.185,14.0,10.7,175.0,125.0,1
0.455,0.385,10.0,8.6,131.0,115.0,1
0.532,0.538,14.0,19.5,167.0,107.0,0
0.579,0.462,24.0,20.6,156.0,127.0,1
0.524,0.4,15.0,20.4,187.0,117.0,0
0.451,0.471,11.0,10.9,169.0,125.0,1
0.435,0.31,14.0,13.0,225.0,124.0,0
0.561,0.485,13.0,11.7,300.0,121.0,0
0.411,0.366,10.0,12.3,160.0,106.0,0
0.461,0.306,21.0,16.8,159.0,110.0,0
0.488,0.2,16.0,13.2,250.0,134.0,0
0.459,0.429,17.0,14.4,150.0,123.0,0
0.462,0.389,15.0,10.7,174.0,103.0,0
0.404,0.361,12.0,15.1,215.0,133.0,1
0.418,0.333,19.0,16.5,154.0,117.0,0
0.494,0.4,14.0,18.0,223.0,112.0,0
0.488,0.577,16.0,14.2,211.0,120.0,0
0.39,0.4,13.0,11.6,200.0,136.0,0
0.368,0.276,9.0,14.6,205.0,103.0,0
0.494,0.333,17.0,12.5,145.0,109.0,1
0.447,0.179,14.0,10.5,213.0,137.0,1
0.506,0.278,18.0,13.3,210.0,114.0,0
